Date_Time,Q_recorded,Q_predicted_3,Q_abs_diff,Q_rel_diff,Q_diff,Q_sqr_diff,Q_sqr_rel_diff,Q_var_rec,Q_sqr_var_rec,Q_var_pre,Q_sqr_var_pre,Q_prod_var_rec_pre,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1997-10-07 20:37:00,0.148,0.013,0.13499999999999998,0.9121621621621621,-0.13499999999999998,0.018224999999999995,0.8320398100803504,-0.5153047210300429,0.26553895551585033,-0.6766738197424892,0.45788745832489075,0.34869321391073693,300.0,0.148,0.148,0.014,0.013,44.4,4.05
1997-10-07 20:42:00,0.148,0.012,0.13599999999999998,0.9189189189189189,-0.13599999999999998,0.018495999999999995,0.8444119795471146,-0.5153047210300429,0.26553895551585033,-0.6776738197424892,0.45924180596437575,0.34920851863176694,300.0,0.148,0.148,0.013,0.012,44.4,3.75
1997-10-07 20:47:00,0.148,0.011,0.13699999999999998,0.9256756756756757,-0.13699999999999998,0.018768999999999994,0.8568754565376187,-0.5153047210300429,0.26553895551585033,-0.6786738197424892,0.4605981536038607,0.349723823352797,300.0,0.148,0.148,0.012,0.011,44.4,3.4499999999999997
1997-10-07 20:52:00,0.148,0.01,0.13799999999999998,0.9324324324324323,-0.13799999999999998,0.019043999999999995,0.8694302410518625,-0.5153047210300429,0.26553895551585033,-0.6796738197424892,0.4619565012433457,0.35023912807382707,300.0,0.148,0.148,0.011,0.01,44.4,3.1499999999999995
1997-10-07 20:57:00,0.148,0.009,0.13899999999999998,0.9391891891891891,-0.13899999999999998,0.019320999999999994,0.8820763330898466,-0.5153047210300429,0.26553895551585033,-0.6806738197424892,0.46331684888283065,0.3507544327948571,300.0,0.148,0.148,0.01,0.009,44.4,2.85
1997-10-07 21:02:00,0.148,0.008,0.13999999999999999,0.9459459459459459,-0.13999999999999999,0.019599999999999996,0.8948137326515705,-0.5153047210300429,0.26553895551585033,-0.6816738197424892,0.46467919652231565,0.35126973751588714,300.0,0.148,0.148,0.009,0.008,44.4,2.5500000000000003
1997-10-07 21:07:00,0.148,0.007,0.141,0.9527027027027026,-0.141,0.019880999999999996,0.9076424397370342,-0.5153047210300429,0.26553895551585033,-0.6826738197424892,0.4660435441618006,0.3517850422369172,300.0,0.148,0.148,0.008,0.007,44.4,2.25
1997-10-07 21:12:00,0.148,0.007,0.141,0.9527027027027026,-0.141,0.019880999999999996,0.9076424397370342,-0.5153047210300429,0.26553895551585033,-0.6826738197424892,0.4660435441618006,0.3517850422369172,300.0,0.148,0.148,0.007,0.007,44.4,2.1
1997-10-07 21:17:00,0.148,0.006,0.142,0.9594594594594594,-0.142,0.020163999999999998,0.9205624543462381,-0.5153047210300429,0.26553895551585033,-0.6836738197424892,0.4674098918012856,0.3523003469579472,300.0,0.148,0.148,0.007,0.006,44.4,1.9500000000000002
1997-10-07 21:22:00,0.148,0.005,0.143,0.9662162162162162,-0.143,0.020448999999999995,0.9335737764791819,-0.5153047210300429,0.26553895551585033,-0.6846738197424892,0.46877823944077057,0.35281565167897727,300.0,0.148,0.148,0.006,0.005,44.4,1.65
