t_min,t_sec,t_rel,y,q,Q,V
174.0,10440.0,10341.369863013699,0.0003926569066007777,3.438268334455725e-06,0.00137530733378229,2717.8194290161478
175.0,10500.0,10401.369863013699,0.0003875685890509169,3.364330498867142e-06,0.0013457321995468568,2717.9010602021476
176.0,10560.0,10461.369863013699,0.0003825889503609766,3.292595682159156e-06,0.0013170382728636624,2717.98094331632
177.0,10620.0,10521.369863013699,0.0003777147775407185,3.2229803668629957e-06,0.0012891921467451982,2718.059130228908
178.0,10680.0,10581.369863013699,0.00037294297832721576,3.1554048648586523e-06,0.0012621619459434609,2718.1356708516887
179.0,10740.0,10641.369863013699,0.0003682705757049681,3.0897931120495976e-06,0.001235917244819839,2718.2106132274116
180.0,10800.0,10701.369863013699,0.0003636947027165176,3.0260724756068224e-06,0.001210428990242729,2718.2840036144635
181.0,10860.0,10761.369863013699,0.000359212597546005,2.964173572919356e-06,0.0011856694291677424,2718.3558865670457
182.0,10920.0,10821.369863013699,0.00035482159885929886,2.904030101453925e-06,0.00116161204058157,2718.426305011138
183.0,10980.0,10881.369863013699,0.0003505191413854275,2.8455786787864738e-06,0.0011382314715145895,2718.495300316501
184.0,11040.0,10941.369863013699,0.0003463027517250605,2.788758692123384e-06,0.0011155034768493535,2718.562912364952
185.0,11100.0,11001.369863013699,0.00034217004437273204,2.733512156680826e-06,0.0010934048626723303,2718.6291796151377
186.0,11160.0,11061.369863013699,0.00033811871794036947,2.6797835823371916e-06,0.0010719134329348766,2718.6941391640057
187.0,11220.0,11121.369863013699,0.00033414655157050423,2.6275198480163078e-06,0.0010510079392065232,2718.7578268051698
188.0,11280.0,11181.369863013699,0.00033025140152829086,2.5766700832984472e-06,0.001030668033319379,2718.8202770843454
189.0,11340.0,11241.369863013699,0.0003264311979621628,2.527185556792408e-06,0.0010108742227169633,2718.8815233520263
190.0,11400.0,11301.369863013699,0.0003226839418235965,2.4790195708352363e-06,0.0009916078283340945,2718.941597813558
191.0,11460.0,11361.369863013699,0.000319007701937066,2.432127362116985e-06,0.0009728509448467939,2719.0005315767535
192.0,11520.0,11421.369863013699,0.0003154006122118235,2.3864660078561927e-06,0.0009545864031424771,2719.058354697193
193.0,11580.0,11481.369863013699,0.00031186086898766954,2.3419943371780055e-06,0.0009367977348712023,2719.1150962213333
194.0,11640.0,11541.369863013699,0.0003083867285073569,2.298672847370985e-06,0.000919469138948394,2719.1707842275478
195.0,11700.0,11601.369863013699,0.0003049765045087318,2.2564636247210327e-06,0.0009025854498884131,2719.225445865213
196.0,11760.0,11661.369863013699,0.00030162856593012846,2.2153302696414307e-06,0.0008861321078565723,2719.279107391945
197.0,11820.0,11721.369863013699,0.000298341334722936,2.175237825837197e-06,0.0008700951303348788,2719.331794209091
198.0,11880.0,11781.369863013699,0.00029511328376561615,2.1361527132595316e-06,0.0008544610853038127,2719.3835308955604
199.0,11940.0,11841.369863013699,0.00029194293487379806,2.098042664622595e-06,0.000839217065849038,2719.434341240095
200.0,12000.0,11901.369863013699,0.00028882885690139064,2.060876665269932e-06,0.0008243506661079728,2719.4842482720537
201.0,12060.0,11961.369863013699,0.0002857696639279571,2.0246248961920014e-06,0.0008098499584768005,2719.5332742907913
202.0,12120.0,12021.369863013699,0.00028276401352787225,1.9892586800092646e-06,0.0007957034720037059,2719.581440893706
203.0,12180.0,12081.369863013699,0.0002798106051170444,1.954750429747402e-06,0.0007819001718989608,2719.628769003023
204.0,12240.0,12141.369863013699,0.0002769081783732289,1.9210736002424717e-06,0.0007684294400969887,2719.675278891383
205.0,12300.0,12201.369863013699,0.0002740555117261885,1.8882026420242658e-06,0.0007552810568097064,2719.7209902062905
206.0,12360.0,12261.369863013699,0.00027125142091416823,1.8561129575357983e-06,0.0007424451830143193,2719.7659219934853
207.0,12420.0,12321.369863013699,0.000268494757603357,1.8247808595559395e-06,0.0007299123438223758,2719.8100927192904
208.0,12480.0,12381.369863013699,0.0002657844080671904,1.7941835317005407e-06,0.0007176734126802163,2719.8535202919857
209.0,12540.0,12441.369863013699,0.0002631192919225287,1.7642989908852387e-06,0.0007057195963540955,2719.896222082257
210.0,12600.0,12501.369863013699,0.00026049836091991143,1.7351060516404485e-06,0.0006940424206561795,2719.938214942767
211.0,12660.0,12561.369863013699,0.00025792059778523773,1.7065842921757349e-06,0.0006826337168702939,2719.979515226893
212.0,12720.0,12621.369863013699,0.00025538501511037547,1.678714022097172e-06,0.0006714856088388688,2720.0201388066644
213.0,12780.0,12681.369863013699,0.0002528906542903319,1.6514762516871344e-06,0.0006605905006748538,2720.06010108995
214.0,12840.0,12741.369863013699,0.0002504365845047523,1.6248526626614922e-06,0.0006499410650645968,2720.099417036922
215.0,12900.0,12801.369863013699,0.0002480219017416306,1.598825580324302e-06,0.0006395302321297207,2720.138101175838
216.0,12960.0,12861.369863013699,0.00024564572786122844,1.5733779470448622e-06,0.0006293511788179449,2720.1761676181663
217.0,13020.0,12921.369863013699,0.00024330720969831062,1.5484932969865326e-06,0.000619397318794613,2720.213630073095
218.0,13080.0,12981.369863013699,0.0002410055182008997,1.5241557320208367e-06,0.0006096622928083346,2720.250501861443
219.0,13140.0,13041.369863013699,0.00023873984760385052,1.5003498987643242e-06,0.0006001399595057297,2720.2867959290124
220.0,13200.0,13101.369863013699,0.00023650941463563402,1.4770609666793218e-06,0.0005908243866717287,2720.3225248593976
221.0,13260.0,13161.369863013699,0.00023431345775680064,1.4542746071830975e-06,0.000581709842873239,2720.357700886284
222.0,13320.0,13221.369863013699,0.00023215123642867803,1.4319769737132278e-06,0.0005727907894852912,2720.3923359052546
223.0,13380.0,13281.369863013699,0.00023002203041092598,1.410154682699888e-06,0.0005640618730799553,2720.426441485132
224.0,13440.0,13341.369863013699,0.00022792513908664733,1.388794795398673e-06,0.0005555179181594692,2720.460028878869
225.0,13500.0,13401.369863013699,0.0002258598808138148,1.3678848005401232e-06,0.0005471539202160493,2720.49310903402
226.0,13560.0,13461.369863013699,0.00022382559230184145,1.3474125977546706e-06,0.0005389650391018682,2720.5256926027996
227.0,13620.0,13521.369863013699,0.00022182162801217653,1.3273664817339831e-06,0.0005309465926935932,2720.5577899517534
228.0,13680.0,13581.369863013699,0.0002198473595818667,1.3077351270918891e-06,0.0005230940508367557,2720.5894111710595
229.0,13740.0,13641.369863013699,0.00021790217526907675,1.2885075738901203e-06,0.0005154030295560481,2720.620566083471
230.0,13800.0,13701.369863013699,0.0002159854794196086,1.269673213795986e-06,0.0005078692855183944,2720.6512642529233
231.0,13860.0,13761.369863013699,0.0002140966919535115,1.2512217768409538e-06,0.0005004887107363815,2720.681514992811
232.0,13920.0,13821.369863013699,0.00021223524787091305,1.233143318750744e-06,0.0004932573275002976,2720.7113273739583
233.0,13980.0,13881.369863013699,0.0002104005967762497,1.215428208819191e-06,0.0004861712835276764,2720.740710232289
234.0,14040.0,13941.369863013699,0.00020859220242011033,1.19806711829959e-06,0.000479226847319836,2720.7696721762145
235.0,14100.0,14001.369863013699,0.0002068095422579466,1.1810510092886653e-06,0.0004724204037154661,2720.7982215937454
236.0,14160.0,14061.369863013699,0.00020505210702493758,1.1643711240796244e-06,0.00046574844963184975,2720.8263666593457
237.0,14220.0,14121.369863013699,0.00020331940032633391,1.1480189749620245e-06,0.0004592075899848098,2720.854115340534
238.0,14280.0,14181.369863013699,0.00020161093824263112,1.1319863344473042e-06,0.0004527945337789217,2720.881475404247
239.0,14340.0,14241.369863013699,0.00019992624894896228,1.116265225900023e-06,0.00044650609036000924,2720.908454422971
240.0,14400.0,14301.369863013699,0.00019826487234811873,1.1008479145558066e-06,0.00044033916582232266,2720.9350597806565
241.0,14460.0,14361.369863013699,0.0001966263597166426,1.0857268989080464e-06,0.0004342907595632186,2720.961298678418
242.0,14520.0,14421.369863013699,0.00019501027336345578,1.070894902446295e-06,0.000428357960978518,2720.9871781400343
243.0,14580.0,14481.369863013699,0.00019341618630051749,1.0563448657301879e-06,0.00042253794629207515,2721.0127050172523
244.0,14640.0,14541.369863013699,0.00019184368192502423,1.0420699387835425e-06,0.000416827975513417,2721.0378859949064
245.0,14700.0,14601.369863013699,0.0001902923537126883,1.0280634737940683e-06,0.00041122538951762733,2721.0627275958573
246.0,14760.0,14661.369863013699,0.0001887618049216522,1.0143190181048535e-06,0.0004057276072419414,2721.08723618576
247.0,14820.0,14721.369863013699,0.0001872516483066173,1.0008303074845032e-06,0.0004003321229938013,2721.1114179776673
248.0,14880.0,14781.369863013699,0.00018576150584278064,9.875912596634318e-07,0.00039503650386537274,2721.135279036473
249.0,14940.0,14841.369863013699,0.00018429100845919602,9.745959681244676e-07,0.000389838387249787,2721.1588252832066
250.0,15000.0,14901.369863013699,0.0001828397957811901,9.618386961364939e-07,0.00038473547845459754,2721.182062499178
251.0,15060.0,14961.369863013699,0.00018140751588147992,9.493138710204027e-07,0.0003797255484081611,2721.2049963299837
252.0,15120.0,15021.369863013699,0.00017999382503965653,9.370160786371817e-07,0.0003748064314548727,2721.2276322893795
253.0,15180.0,15081.369863013699,0.00017859838750971084,9.249400580884324e-07,0.000369976023235373,2721.2499757630203
254.0,15240.0,15141.369863013699,0.00017722087529529383,9.130806966200912e-07,0.00036523227864803645,2721.2720320120766
255.0,15300.0,15201.369863013699,0.00017586096793241663,9.014330247205884e-07,0.00036057320988823536,2721.2938061767327
256.0,15360.0,15261.369863013699,0.000174518352279307,8.899922114050698e-07,0.0003559968845620279,2721.3153032795663
257.0,15420.0,15321.369863013699,0.00017319272231315264,8.78753559677733e-07,0.0003515014238710932,2721.336528228819
258.0,15480.0,15381.369863013699,0.00017188377893347255,8.677125021646957e-07,0.0003470850008658783,2721.357485821561
259.0,15540.0,15441.369863013699,0.0001705912297718681,8.568645969101731e-07,0.00034274583876406925,2721.37818074675
260.0,15600.0,15501.369863013699,0.00016931478900791673,8.462055233290812e-07,0.00033848220933163246,2721.398617588193
261.0,15660.0,15561.369863013699,0.00016805417719098075,8.357310783095094e-07,0.00033429243132380374,2721.4188008274123
